subject_id,group,driving_experience_y,condition,brake_reaction_time_s,hr_mean_bpm,hr_sd_bpm,ibi_mean_ms,sdnn_ms,rmssd_ms,pnn50_pct,lf_power,hf_power,lf_hf_ratio,poincare_sd1_ms,poincare_sd2_ms,blink_count,blink_rate_per_min,blink_duration_mean_ms,fixation_count,fixation_duration_mean_ms,fixation_total_duration_s,fixation_time_ratio_pct,fixation_sample_count,saccade_count,saccade_duration_mean_ms,gap_count,pupil_diameter_mean_mm,pupil_diameter_sd_mm,gaze_velocity_mean_deg_s,gaze_velocity_max_deg_s,gaze_velocity_sd_deg_s,gaze_x_mean_pct,gaze_x_sd_pct,gaze_y_mean_pct,gaze_y_sd_pct
P09,EE,15,baseline,2.145,98.11,25.86,611.54,159.4331,139.4849,2.5253,0.0189,0.0032,5.8376,98.714,202.9262,21,3.45,110.43,245,1330.8,326.046,96.44,178,329,30.39,10,4.0962,0.3537,8.7143,1534.9878,48.5534,49.07,8.64,55.45,11.61
P10,EE,12,0-back,0.572,78.305,7.05,766.375,35.8485,19.65435,0.83335,0.0216,0.00455,4.59555,13.9312,48.7903,48,18.55,178.69,372,251.88,92.106,70.415,20463,652,24.455,1676,4.0019,0.2956,37.4059,935.5873,96.3698,48.25,13.13,51.7,13
P10,EE,12,1-back,1.682,77.645,12.03,772.735,39.58755,20.32115,1.2038,0.00765,0.00255,3.1286,14.403,54.0043,29,11.32,187.055,320.5,250.905,85.546,64.105,16504,599.5,22.485,2204,4.00825,0.3446,43.3502,1135.6719,113.10485,45.29,16.61,48.36,17.65
P10,EE,12,2-back,1.938,77.975,7.3,769.965,50.4813,20.9587,1.5867,0.0086,0.00365,2.09195,14.8478,69.10055,44.5,17.74,194.705,386,231.9,89.628,60.73,16584,742,21.155,1919,4.30355,0.2397,44.6382,1043.12335,116.6075,46.12,14.66,49.45,16.13
P10,EE,12,baseline,2.145,75.84,25.86,792.6,43.15125,23.19095,3.3968,0.03565,0.0114,4.23435,16.4313,58.04525,50,19.565,184.27,325.5,259.01,83.337,75.6,681,560.5,26.8,66,4.0051,0.31935,31.32755,1138.07465,92.718,47.82,14.68,51.41,15.84
P11,EE,14,0-back,0.572,88.26,7.05,679.8,163.3006,162.7246,5.3097,0.0361,0.0171,2.1052,115.3202,200.6627,18,6.99,126.72,97,1445.22,140.186,94.33,20463,184,32.1,1676,4.0192,0.3077,10.7746,990.0304,49.0941,48.25,13.13,51.7,13
P11,EE,14,1-back,1.682,96.31,12.03,622.96,111.2126,111.6734,5.6911,0.0507,0.0543,0.9329,79.1266,136.2936,34,13.21,105.35,110,1080.7,118.877,91.15,16504,234,37.48,2204,4.4737,0.3217,13.8696,1510.3109,59.0288,45.29,16.61,48.36,17.65
P11,EE,14,2-back,1.938,99.89,7.3,600.66,36.6101,32.1413,1.9608,0.0458,0.063,0.727,22.772,46.5318,25,9.71,116.68,130,859.95,111.794,89.78,16584,256,36.79,1919,4.5159,0.2854,16.1323,3076.0097,72.9755,46.12,14.66,49.45,16.13
P11,EE,14,baseline,1.3125,88.78,25.86,675.85,94.5271,94.7434,10.5727,0.0199,0.0114,1.7466,67.1423,115.8491,19,7.38,115.84,128,1087.27,139.17,91.58,2306,251,38.54,214,3.925,0.3641,15.2195,2698.2456,70.1566,47.98,14.46,52.78,21.14
P12,EN,1,0-back,1.229,74.03,7.85,810.92,36.97625,25.66565,6.10565,0.03165,0.0103,3.17825,18.18625,49.116,121.5,36.79,133.335,280,563.245,157.7115,88.42,6456,565.5,23.5,263,4.48505,0.2949,11.31135,1200.8356,35.916,48.46,9.81,49.4,9.71
P12,EN,1,1-back,1.682,75.29,3.49,796.975,36.1693,24.67175,5.1101,0.03915,0.0117,3.5155,17.4812,48.13835,127,38.555,134.32,314,440.965,138.311,84.69,15180,655.5,24.01,2548.5,4.50055,0.3252,13.5671,761.1842,38.20285,10.59,20.58,11.23,21.94
P12,EN,1,2-back,1.938,75.48,14.13,795.095,144.732,160.89865,12.6584,0.0464,0.02765,1.5744,114.00345,170.0879,110.5,33.475,123.62,317,397.865,124.9205,80.29,23474,734,26.255,573,4.6988,0.42695,18.13685,845.6422,50.3213,5.67,16.61,6.2,18.56
P12,EN,1,baseline,0.6875,75.96,3.47,790.33,68.43155,56.1302,8.4907,0.0382,0.01605,2.32445,39.7707,88.28885,142,43.15,123.18,276,529.775,145.121,87.235,14820,528,27.585,4303,4.2239,0.4917,13.42665,923.549,44.314,36.64,23.19,37.11,22.98
P13,EN,2,0-back,0.6875,76.28,7.85,786.57,41.9722,26.9102,8.5308,0.0501,0.0118,4.2498,19.0736,56.2656,79,28.32,132.15,354,248.89,88.108,68.34,11544,918,28.21,727,4.1009,0.3245,29.5852,1238.1117,73.6562,47.54,12.4,48.79,12.46
P13,EN,2,1-back,1,71.68,3.49,837.07,53.1209,33.0468,13.1313,0.0069,0.002,3.3867,23.4231,71.3146,92,32.98,146.74,414,205.09,84.907,61.38,15180,1237,25.35,2548.5,4.7571,0.3911,33.7133,1889.5468,83.2242,10.59,20.58,11.23,21.94
P13,EN,2,2-back,1.938,70.85,14.13,846.86,48.2413,36.0516,15.8163,0.0239,0.0112,2.1243,25.5549,63.1289,83,29.75,144.39,377,218.83,82.498,65.65,23474,1014,25.77,573,4.4274,0.3984,31.8484,985.5223,79.0136,5.67,16.61,6.2,18.56
P13,EN,2,baseline,0.6875,76.94,3.47,779.83,82.747,33.8235,14.0845,0.0103,0.0016,6.6542,23.9676,114.4141,100,35.84,164.38,319,175.06,55.845,58.23,1812,905,26.76,914,3.944,0.3401,37.0403,1071.956,84.151,25.55,24.85,26.89,26.42
P14,EN,1,0-back,1.229,75.39,7.85,795.85,40.4974,24.0609,3.937,0.0573,0.0134,4.2663,17.0473,54.7849,103,30.49,146.25,254,648.23,164.651,88.5,231,559,23.74,8,4.3802,0.448,11.3235,852.9661,32.4406,49.67,7.51,50.32,7.88
P14,EN,1,1-back,1.682,75.68,3.49,792.82,45.3838,26.9558,6.2992,0.0354,0.0067,5.3092,19.0964,61.1337,133,39.37,132.36,302,513.48,155.07,86,15180,617,26.64,2548.5,4.1641,0.455,13.4468,892.612,37.6624,10.59,20.58,11.23,21.94
P14,EN,1,2-back,1.938,75.88,14.13,790.73,162.3914,168.3545,12.1569,0.0574,0.0461,1.2459,119.2754,195.0747,118,34.93,127.25,328,484.23,158.829,85.51,649,679,26.99,573,4.4856,0.4829,13.8367,766.4328,40.7321,6.71,17.2,7.18,18.44
P14,EN,1,baseline,0.6875,71.44,3.47,839.87,282.1885,290.5321,10,0.0024,0.0008,2.9178,205.8681,342.7913,118,34.93,134.33,305,466.94,142.416,84.6,136,639,26.71,124,4.3844,0.4059,14.6393,686.5213,41.7659,4.73,14.61,5.01,15.46
P15,EN,2,0-back,1.483,76.47,5.13,784.64,70.687,47.8516,23.4756,0.0333,0.0112,2.9707,33.8864,94.0144,1,0.23,167,4,183.25,0.733,69.23,20069,7,16.57,1651,3.852,0.3616,11.5308,59.0509,17.3652,51.4,23.1,51.53,17.22
P15,EN,2,1-back,1.682,74.31,3.99,807.41,98.7946,101.286,29.1536,0.0443,0.0163,2.7144,71.7329,120.1394,2623,,,7857,,,,10955,475,,2623,5.1082,0.3629,8.88,,,38.84,21.15,41.32,22.93
P15,EN,2,2-back,1.938,73.05,2.76,821.33,172.898,168.5099,25.4777,0.0227,0.0041,5.5184,119.3428,213.0979,5,1.16,173.4,19,303.53,5.767,77.58,14731,40,21.7,3240,4.6507,0.7799,17.6976,470.9852,45.6699,40.51,21.11,42.65,21.93
P15,EN,2,baseline,2.224,70.47,6.81,851.39,578.5162,589.923,26.7327,0.0292,0.0014,20.5564,417.8308,704.9276,1400,,,13163,,,0,14817,254,,1400,2.9063,0.198,0,0,0,47.91,18.99,50.43,16.07
P16,EN,2,0-back,1.457,63.86,5.13,940.1133333,80.1248,50.94363333,11.78283333,0.014133333,0.0034,3.564233333,36.07503333,107.4428333,87,15.87,179.3233333,119.6666667,188.1533333,26.813,24.87333333,20069,228,27.03333333,1651,3.0692,0.189166667,80.52496667,824.5039667,138.4914333,51.4,23.1,51.53,17.22
P16,EN,2,1-back,2.25,62.73666667,3.99,957.21,77.0348,51.04306667,12.9671,0.0178,0.005533333,3.189633333,36.1461,102.7478,135.3333333,25.18333333,171.3766667,220.3333333,274,59.37533333,25.95,10955,385.3333333,25.12666667,2623,2.9433,0.1746,94.6602,1035.877267,150.3730333,38.84,21.15,41.32,22.93
P16,EN,2,2-back,2.25,60.78333333,2.76,987.23,79.02333333,71.07496667,15.21776667,0.026033333,0.022366667,2.099466667,50.33566667,98.964,209,39.13666667,173.8566667,257,304.2233333,76.46133333,23.00666667,14731,413.3333333,25.8,3240,3.0226,0.281933333,104.8245667,1325.3608,162.8416333,40.51,21.11,42.65,21.93
P16,EN,2,baseline,2.224,63.44,6.81,947.7333333,112.63,92.45386667,12.1738,0.023433333,0.007066667,8.345033333,65.47713333,145.0503667,72,13.15666667,166.6366667,101,284.7833333,25.86566667,45.94,1946,186,28.41666667,21,2.9504,0.188466667,61.075,945.4159333,130.4886333,51.94,11.4,56.14,9.81
P17,EN,2,0-back,1.43,87.24,5.13,687.81,56.47995,43.59395,3.61715,0.01795,0.00535,4.0848,30.87975,72.6918,64,20.245,131.035,294,533.03,156.1185,87.535,20069,504.5,33.445,1651,5.0546,0.4519,18.92665,1310.2051,71.47715,51.4,23.1,51.53,17.22
P17,EN,2,1-back,1.682,97.735,3.99,614.07,54.50915,19.55155,0.6391,0.0029,0.00065,4.6718,13.8473,75.6833,74,23.625,120.12,265,586.965,155.679,87.81,10955,464,34.61,2623,5.3326,0.42835,19.66725,1411.3708,75.1974,38.84,21.15,41.32,22.93
P17,EN,2,2-back,1.938,90,2.76,667.3,57.502,31.25985,5.76535,0.02345,0.00415,7.19775,22.14435,78.11945,86,27.235,128.26,240,615.18,147.8505,86.865,14731,472,34.285,3240,5.304,0.42655,20.7921,1550.17295,80.3395,40.51,21.11,42.65,21.93
P17,EN,2,baseline,1,85.49,6.81,701.845,51.13475,29.29665,5.61705,0.0212,0.0041,5.22795,20.7545,69.3549,79.5,25.26,132.815,254,568.64,144.7235,85.85,1830,495,35.02,0,4.94785,0.49795,22.1587,1798.1087,83.538,50.12,0.42,54.8,0.73
P18,EN,2,0-back,1.403,73.55,5.13,815.72,41.6465,27.3573,7.7586,0.0409,0.0092,4.4477,19.3865,55.5421,132,41.72,119.79,300,479.91,143.972,82.94,20069,745,25.52,1651,4.3782,0.3043,20.5159,891.2788,60.3508,51.4,23.1,51.53,17.22
P18,EN,2,1-back,1.682,73.74,3.99,813.63,44.5823,27.5129,6.8966,0.0469,0.0108,4.3417,19.4966,59.9827,140,44.25,129.53,344,394.85,135.828,79.37,10955,887,24.81,2623,4.3317,0.3309,21.8927,1001.6923,61.523,38.84,21.15,41.32,22.93
P18,EN,2,2-back,2.002,80.15,2.76,748.57,73.3432,53.2656,4.7619,0.0037,0.0013,2.9296,37.6672,83.4267,121,38.24,124.4,308,357.22,110.024,67.56,948,1199,27.38,84,4.576,0.5001,36.3633,1512.5407,87.7182,46.75,11.71,49.56,14.56
P18,EN,2,baseline,2.224,72.91,6.81,822.88,55.0299,34.3966,10.0437,0.0304,0.0078,3.8885,24.3707,73.6105,140,44.25,118.2,297,453.28,134.623,79.88,650,810,26.35,0,4.2413,0.6604,24.509,1190.3579,75.4725,50.58,0.54,55.2,8.87
P19,EE,25,0-back,0.572,90.81,7.22,660.985,15.80265,10.397,0,0.0097,0.0134,0.7173,7.36655,21.0595,4,1.435,122.735,31.5,4974.96,155.4255,97.66,2105,76.5,34.845,854,3.95745,0.2325,6.89145,857.27225,34.8635,68.84,50,17.23,28.61
P19,EE,25,1-back,1.3125,94.885,9.04,632.365,116.4987,110.6514,1.45195,0.05205,0.03265,1.6326,78.40035,145.11025,7,2.88,138.12,69.5,2186.36,153.259,96.385,24945,114,36.07,707,4.1192,0.2421,7.6827,2174.9234,41.19335,74.82,50,8.39,18.49
P19,EE,25,2-back,1.938,95.15,27.29,632.855,104.1315,104.74905,3.0545,0.0317,0.00835,3.1252,74.215,126.89635,17.5,6.395,97.175,155.5,945.635,126.57,91.545,930,262,37,468,4.16145,0.29405,15.1468,1716.93475,67.92635,27.93,33.47,12.58,15.55
P19,EE,25,baseline,1,90.565,5.65,662.63,17.54735,10.89265,0,0.0107,0.01075,0.99415,7.71785,23.48475,12,4.3,120.02,88.5,1694.45,151.114,94.865,5846,169,35.77,4636,3.94535,0.3431,10.874,2034.01545,57.2485,24.61,42.63,13.18,33.92
P20,EE,23,0-back,1.563,78.5,7.22,764.3,34.608,23.2061,2.3109,0.0425,0.0113,3.7515,16.4255,45.9629,86,14.14,211.29,760,285.04,216.631,82.46,20975,1173,28,854,4.0563,0.3246,17.2173,1104.3736,40.2009,77.19,50,11.25,19.99
P20,EE,23,1-back,1.682,78.96,9.04,759.88,47.9932,25.3812,4.6025,0.0277,0.0076,3.6278,17.966,65.4981,135,22.2,199.57,774,271.18,209.893,80.34,640,1256,28.82,3,4.1047,0.3403,20.6355,984.575,53.7012,100,1.28,9.92,2.85
P20,EE,23,2-back,1.938,76.34,27.29,785.92,44.3473,23.8227,2.8078,0.0357,0.0095,3.7605,16.8634,60.3868,109,17.93,195.1,811,266.57,216.187,80.39,23360,1348,27.8,1919,4.1357,0.3008,18.8917,781.4275,44.7538,52.99,50,8.16,22.37
P20,EE,23,baseline,0.6875,83.22,5.65,721.01,46.8275,21.5066,1.7857,0.0119,0.002,6.0124,15.2226,64.3925,92,15.13,196.54,674,295.4,199.098,83.67,15016,994,28.31,214,4.1592,0.41,16.6897,776.4648,39.4306,20.06,41.12,5.03,21.43
P21,YE,16,0-back,1.563,56.97,19,1053.1,106.7126,111.4859,48.4848,0.0443,0.0308,1.4406,79.0301,128.4258,79,22.64,113.48,534,270.53,144.462,74.88,3425,1160,28.37,1332,5.1309,0.3315,26.2845,1532.5669,76.9743,55.53,42.64,7.93,14.15
P21,YE,16,1-back,1.682,55.84,32.69,1074.55,354.6938,279.4939,43.0052,0.0102,0.0011,9.6259,198.1479,461.333,86,24.65,122.09,491,236.34,116.043,69.31,8160,1224,27.37,3527,5.0483,0.4296,30.7899,1442.1914,80.8348,52.74,43.1,7.45,15.18
P21,YE,16,2-back,1.938,58.02,34.15,1034.12,82.9207,61.9552,38.3085,0.0074,0.0068,1.0892,43.9119,107.9881,101,28.95,124.25,445,301.58,134.201,73.17,17961,1111,29.02,1270,4.9342,0.394,29.3955,2155.8955,86.5893,70.08,40.65,14.59,16.05
P21,YE,16,baseline,1.817,58.7,26.4,1022.23,96.0553,75.176,42.8571,0.0055,0.006,0.9051,53.2813,124.6079,72,20.64,103.4,523,287.34,150.277,76.09,19951,1048,32.89,249.5,4.9232,0.3853,25.7627,1047.1774,70.3582,69.49,43.68,9.57,18.26
P22,YE,15,0-back,1.563,76.17,19,787.69,40.3603,44.6998,32.3413,0.0091,0.0254,0.3578,31.639,47.5598,212,31.98,120.9,1018,194.57,198.075,53.49,5280,4455,19.39,1896,4.728,0.3736,32.7189,1647.9398,86.5419,62.87,44.97,5.12,10.47
P22,YE,15,1-back,1.78,74.79,32.69,802.2,44.0572,56.5129,50.2024,0.0121,0.0384,0.3157,40.0012,47.8522,293,44.2,119.38,997,247.83,247.086,69.54,2384,2818,21.46,515,4.5952,0.3435,28.0967,2178.344,83.9693,78.83,30.11,11.99,19.2
P22,YE,15,2-back,1.938,74.04,34.15,810.35,46.2518,60.5957,49.6933,0.0084,0.0282,0.2957,42.8915,49.3616,236,35.6,116.86,881,270.2,238.05,71.56,9290,2408,22.42,3575,4.4652,0.3879,26.8768,3244.2703,86.8434,56.96,44.82,7.89,18.05
P22,YE,15,baseline,1.785,78.67,26.4,762.64,46.5657,47.6999,35.9615,0.0016,0.0038,0.4172,33.7614,56.5864,185,27.91,113.06,898,230.69,207.158,63.48,642,2971,22.63,258,4.7291,0.477,33.2645,1494.7081,88.5092,63.61,46.05,21.45,32.89
P23,YE,14,0-back,1.3125,80.15,19,748.59,52.9829,35.7004,18.5366,0.0233,0.0063,3.6762,25.3057,70.2065,96,37.35,102.47,303,377.47,114.373,79.78,14677,687,29.28,4510,4.3868,0.4098,30.7031,1792.5969,101.1591,61.78,38.07,6.08,10.7
P23,YE,14,1-back,1.682,82.73,32.69,725.26,46.6467,36.9005,17.5355,0.0109,0.0037,2.9277,26.1542,60.4936,98,38.13,112.26,361,302.05,109.04,76.18,640,798,29.83,134,5.0628,0.4826,33.2179,1391.3815,94.229,78.48,34.33,17.04,19.82
P23,YE,14,2-back,1.95,78.76,34.15,761.82,47.3667,41.4343,24.8756,0.005,0.0041,1.2358,29.372,60.3489,106,41.24,120.62,330,232.88,76.851,62.98,2865,1006,28.33,1042,5.2913,0.403,43.8174,1222.2997,100.4836,66.14,40.53,10.62,13.9
P23,YE,14,baseline,,77.34,,775.79,59.4079,51.0862,31.9797,0.011,0.0098,1.1133,36.2098,75.0632,102,39.68,106.59,331,335.51,111.054,78.45,,705,31.31,,4.5894,0.4336,31.3812,1368.3399,92.0875,,,,
